business openings,business openings,business openings,business openings,business closures,business closures,business closures,business closures,active businesses,active businesses,active businesses,active businesses
april 2019,apr-20,change from april 2019 to april 2020,change from april 2019 to april 2020,apr-19,apr-20,change from april 2019 to april 2020,change from april 2019 to april 2020,apr-19,apr-20,change from april 2019 to april 2020,change from april 2019 to april 2020
number,number,number,percent,number,number,number,percent,number,number,number,percent
40136.0,32803.0,7333.0,-18.3,39078.0,88187.0,49109.0,125.7,798379.0,711472.0,-86907.0,-10.9
311.0,253.0,-58.0,-18.6,282.0,441.0,159.0,56.3,4768.0,4274.0,-495.0,-10.4
279.0,235.0,-44.0,-15.8,282.0,416.0,134.0,47.6,6057.0,5416.0,-640.0,-10.6
34.0,19.0,-15.0,-43.9,22.0,35.0,13.0,57.1,728.0,673.0,-55.0,-7.6
5954.0,3971.0,-1982.0,-33.3,6160.0,12837.0,6677.0,108.4,117476.0,103713.0,-13763.0,-11.7
1116.0,914.0,-202.0,-18.1,1157.0,3178.0,2021.0,174.7,42582.0,38903.0,-3679.0,-8.6
1074.0,858.0,-215.0,-20.0,1141.0,2672.0,1531.0,134.2,39521.0,35807.0,-3714.0,-9.4
2715.0,2266.0,-449.0,-16.5,2818.0,8951.0,6133.0,217.7,86279.0,75503.0,-10776.0,-12.5
3103.0,2586.0,-517.0,-16.7,3107.0,5511.0,2405.0,77.4,51165.0,45412.0,-5753.0,-11.2
497.0,405.0,-92.0,-18.5,479.0,918.0,439.0,91.7,10142.0,9323.0,-819.0,-8.1
2176.0,1826.0,-350.0,-16.1,2268.0,4145.0,1877.0,82.8,40278.0,36064.0,-4214.0,-10.5
5963.0,5847.0,-117.0,-2.0,5914.0,9739.0,3825.0,64.7,114287.0,108512.0,-5775.0,-5.1
2137.0,1475.0,-662.0,-31.0,2030.0,3999.0,1969.0,97.0,39910.0,35951.0,-3959.0,-9.9
1420.0,1277.0,-144.0,-10.1,1458.0,2025.0,567.0,38.9,27830.0,26261.0,-1569.0,-5.6
821.0,543.0,-278.0,-33.9,779.0,1855.0,1075.0,138.0,14425.0,12652.0,-1773.0,-12.3
2350.0,1933.0,-417.0,-17.8,2452.0,9171.0,6719.0,274.1,62567.0,51796.0,-10770.0,-17.2
2611.0,2105.0,-507.0,-19.4,2578.0,9392.0,6814.0,264.3,72829.0,61776.0,-11054.0,-15.2
7355.0,5016.0,-2339.0,-31.8,7009.0,13503.0,6494.0,92.7,74013.0,65311.0,-8702.0,-11.8
