	Name	Route number(s)	Length (mi)	Location	Notes
0	Alewife Brook Parkway		2.05	Cambridge	Runs from Concord Avenue to the Mystic Valley Parkway.
2	Amvets Memorial Highway\n(Fall River Expressway)	*	40.91	Fall River to Randolph	Route 24 is a connector between the Fall River/New Bedford area east of Rhode Island to the Boston metropolitan area, connecting the major freeways of the area: I-195 in Fall River and I-93/US-1 near I-95 in Randolph.\n- Route 79 runs along the highway between Exits 7 and 9, concurrent with Route 24.\n- I-195 has a brief concurrency with Route 24 in Fall River.
4	Henry E. Bodurtha Highway		5.0	Agawam	Freeway comprises the eastern 5 miles (8.0 km) of Route 57, connecting Route 187 to U.S. Route 5 and I-91.
6	Central Artery\n(John F. Fitzgerald Expressway)		3.18	Boston	The Central Artery is the portion of I-93 in downtown Boston, which runs from Massachusetts Ave. (just south of Exit 20) north to U.S. Route 1's departure at Exit 27.\nRoute 3 leaves the Artery at Exit 26.
9	Grand Army of the Republic Highway	*	117.46	Seekonk to Provincetown	The cross-country U.S. Route 6 is designated Grand Army of the Republic Highway over its entire length, which spans 3,205 miles (5,158 km).
10	Horseneck Beach Connector	*	13.03	Westport	Route 88 serves as a connector running from the Horseneck Beach Reservation north to I-195 Exit 10 in Westport.
11	Loop Connector	*	3.56	Methuen	"Route 213 is designated ""Loop Connector."" It serves as a freeway connection between Interstates 93 and 495 in Methuen."
12	Lydia Taft Highway	*	3.0	Uxbridge	Route 146A in Massachusetts is designated as the Lydia Taft Highway, which runs from the Rhode Island state border to Route 122 in Uxbridge.
13	Massachusetts Turnpike	*	138.1	West Stockbridge\nto Boston	"The Mass Pike is a toll road running from the New York state border to downtown Boston. It serves as the main cross-state freeway connecting the western and eastern portions of the state. The ""Pike"" carries the easternmost 138 miles (222 km) of cross-country Interstate 90."
14	Memorial Drive		4.12	Cambridge	U.S. Route 3 and MA Route 3 connect to each other on Memorial Drive, which runs from the Fresh Pond Parkway to Main Street.\nRoute 2 travels along Memorial Drive with US-3 and leaves via the Boston University Bridge.
15	Mid-Cape Highway		36.6	Bourne to Orleans	The Mid-Cape Highway is the main highway on Cape Cod, a 36-mile (58 km) long freeway running from Route 3 and the Sagamore Bridge east to the Orleans Rotary.
16	Mohawk Trail		65.0	Williamstown\nto Orange	The 65-mile (105 km) Mohawk Trail comprises the western section of Route 2, from the New York border east to Orange, and is regarded as one of the most scenic drives in the area.
18	Northeast Expressway	*	4.1	Boston,\nChelsea,\nRevere	This section of U.S. Route 1 runs from I-93 Exit 27 (Tobin Bridge) to an interchange with Route 60 in Revere. This was originally supposed to be part of I-95, but I-95 was cancelled in Boston, with I-93 and US-1 taking its place.
19	Northwest Expressway		21.1	Burlington to Tyngsborough	The Northwest Expressway serves as a freeway connection between I-95/Route 128 (Exit 32A) in Burlington and the F.E. Everett Turnpike in Nashua, NH.
20	Pilgrims Highway		42.5	Bourne to Braintree	The Pilgrims Highway is the southern portion of Route 3, a 42-mile (68 km) long freeway which serves as a connector between Cape Cod (via U.S. Route 6) and the Boston metropolitan area (via I-93 and I-95).\n- U.S. Route 44 runs along the highway between Exits 6 and 7.
22	Southern Artery		2.13	Quincy	The Southern Artery is a major arterial in the city of Quincy, running from Quincy Ave to the Furnace Brook Parkway.
23	Taunton-New Bedford Expressway\n(Alfred M. Bessette Memorial Highway)		19.3	New Bedford to Taunton	The New Bedford Expressway comprises the southern 19 miles (31 km) of Route 140, and serves as a freeway connection between U.S. Route 6 in New Bedford and Route 24 (Exit 12) in Taunton, near I-495.
25	Wilbur Cross Highway	*	8.0	Sturbridge	I-84 in Massachusetts is designated the Wilbur Cross Highway. It runs 8 miles (13 km) from the Connecticut state border to the Mass Pike at Exit 9.
26	Worcester-Providence Turnpike	*	20.99	Millville to Worcester	Route 146 is a freeway that, along with Rhode Island's Route 146, serves to connect the metropolitan areas of Providence and Worcester. The entire route starts from I-95 in Providence, with the Massachusetts section picking up at the state line in Millville. The highway runs 21 miles (34 km) northward, intersecting the Mass Pike (I-90) in Worcester, and terminating at I-290 shortly thereafter.\n- Route 122A runs along the highway between Exits 9 and 12, concurrently with Route 146.
27	Yankee Division Highway\n(Circumferential Highway)	*	64.74	Braintree to Gloucester	The Yankee Division Highway consists of the Route 128 beltway before it was truncated to its southern terminus in Canton, and continues to span its entire length. It stretches from I-93's Exit 7 in Braintree to Route 128's northern terminus at Route 127A in Gloucester.\n- I-95 runs along the highway between Exits 12 and 45 (concurrent with 128).\n- I-93 runs along the highway between Exits 1 and 7.\n- U.S. Route 1 runs along the highway between I-95 Exit 15B and I-93 Exit 7.
