Week,Date,Result,Record,Opponent,First Downs,Opponents,Score
2,September 25,Win,2–0,New York Giants,25,,
3,October 2,Win,3–0,Tampa Bay Buccaneers,23,,
4,October 9,Win,4–0,at St. Louis Cardinals,22,,
5,October 16,Win,5–0,Washington Redskins,23,,
6,October 23,Win,6–0,at Philadelphia Eagles,17,,
7,October 30,Win,7–0,Detroit Lions,20,,
8,November 6,Win,8–0,at New York Giants,13,,
9,November 14,Loss,8–1,St. Louis Cardinals,16,24.0,7.0
10,November 20,Loss,8–2,at Pittsburgh Steelers,20,28.0,15.0
11,November 27,Win,9–2,at Washington Redskins,19,,
12,December 4,Win,10–2,Philadelphia Eagles,19,,
13,December 12,Win,11–2,at San Francisco 49ers,24,,
14,December 18,Win,12–2,Denver Broncos,15,,
