Nationality,Location of race,Time
Italy,"Rome, Italy",20.5
Jamaica,"Cali, Colombia",19.8A
Jamaica,"Eugene, Oregon, United States",19.8+
United Kingdom,"Wolverhampton, United Kingdom",20.5y
United States,"Bakersfield, United States",20.6
United States,"Berkeley, United States",20.6y
United States,"Los Angeles, United States",20.6
United States,"Melbourne, Australia",20.6
United States,"Mexico City, Mexico",19.8A
United States,"Philadelphia, United States",20.6
United States,"Sacramento, United States",20.0y
United States,"Stanford, United States",20.5
United States,"Tempe, United States",20.2y
United States,"Walnut, United States",20.5y
West Germany,"Wuppertal, Germany",20.6
