Name of place,Number of counties,Principal county,Lower zip code,Upper zip code,County
Sabinsville,1,Tioga County,16943.0,,Tioga County
Sabula,1,Clearfield County,15801.0,,Clearfield County
Sackett,1,Elk County,16735.0,,Elk County
Sackville,1,Delaware County,,,Delaware County
Saco,1,Bradford County,18850.0,,Bradford County
Saco,1,Lackawanna County,,,Lackawanna County
Sacramento,1,Schuylkill County,17968.0,,Schuylkill County
Sadlers Corner,1,Venango County,,,Venango County
Sadsbury Meeting House,1,Lancaster County,,,Lancaster County
Sadsbury Township,1,Chester County,,,Chester County
Sadsbury Township,1,Crawford County,,,Crawford County
Sadsbury Township,1,Lancaster County,,,Lancaster County
Sadsburyville,1,Chester County,19369.0,,Chester County
Saegers,1,Lycoming County,,,Lycoming County
Saegersville,1,Lehigh County,18053.0,,Lehigh County
Saegertown,1,Crawford County,16433.0,,Crawford County
Safe Harbor,1,Lancaster County,17516.0,,Lancaster County
Sagamore,1,Armstrong County,16250.0,,Armstrong County
Sagamore,1,Fayette County,15446.0,,Fayette County
Sagamore Estates,1,Pike County,,,Pike County
Saginaw,1,York County,17347.0,,York County
Sagon,1,Northumberland County,17872.0,,Northumberland County
Sagon Junction,1,Northumberland County,,,Northumberland County
St. Albans,1,Delaware County,19073.0,,Delaware County
St. Augustine,1,Cambria County,16636.0,,Cambria County
St. Benedict,1,Cambria County,15773.0,,Cambria County
St. Boniface,1,Cambria County,16675.0,,Cambria County
St. Charles,1,Clarion County,16242.0,,Clarion County
St. Clair,1,Allegheny County,,,Allegheny County
St. Clair,1,Schuylkill County,17970.0,,Schuylkill County
St. Clair,1,Westmoreland County,15601.0,,Westmoreland County
St. Clair Acres,1,Allegheny County,15241.0,,Allegheny County
St. Clair Township,1,Westmoreland County,,,Westmoreland County
St. Clairsville,1,Bedford County,16667.0,,Bedford County
St. Davids,1,Delaware County,19087.0,,Delaware County
St. George,1,Venango County,16374.0,,Venango County
St. Joe,1,Butler County,,,Butler County
St. Johns,1,Luzerne County,18247.0,,Luzerne County
St. Joseph,1,Susquehanna County,18818.0,,Susquehanna County
St. Lawrence,1,Berks County,19606.0,,Berks County
St. Lawrence,1,Cambria County,16668.0,,Cambria County
St. Leonard,1,Bucks County,18940.0,,Bucks County
St. Martins,1,Philadelphia County,,,Philadelphia County
St. Marys,1,Chester County,,,Chester County
St. Marys,1,Elk County,15857.0,,Elk County
Saint Marys Seminary,1,Montgomery County,,,Montgomery County
St. Michael,1,Cambria County,15951.0,,Cambria County
St. Michael-Sidman,1,Cambria County,,,Cambria County
St. Nicholas,1,Schuylkill County,17948.0,,Schuylkill County
St. Paul,1,Somerset County,15552.0,,Somerset County
Saint Pauls Church,1,Philadelphia County,,,Philadelphia County
St. Peters,1,Chester County,19470.0,,Chester County
St. Petersburg,1,Clarion County,16054.0,,Clarion County
St. Thomas,1,Franklin County,17252.0,,Franklin County
St. Thomas Township,1,Franklin County,,,Franklin County
St. Vincent College,1,Westmoreland County,15650.0,,Westmoreland County
St. Vincent Shaft,1,Westmoreland County,15650.0,,Westmoreland County
Salco,1,Somerset County,15530.0,,Somerset County
Salem,1,Clearfield County,15801.0,,Clearfield County
Salem,1,Franklin County,17201.0,,Franklin County
Salem,1,Mercer County,16125.0,,Mercer County
Salem,1,Snyder County,17870.0,,Snyder County
Salem Harbor,1,Bucks County,19020.0,,Bucks County
Salem Township,1,Clarion County,,,Clarion County
Salem Township,1,Luzerne County,,,Luzerne County
Salem Township,1,Mercer County,,,Mercer County
Salem Township,1,Wayne County,,,Wayne County
Salem Township,1,Westmoreland County,,,Westmoreland County
Salemville,1,Bedford County,16664.0,,Bedford County
Salford,1,Montgomery County,18957.0,,Montgomery County
Salford Heights,1,Montgomery County,19438.0,,Montgomery County
Salford Township,1,Montgomery County,,,Montgomery County
Salfordville,1,Montgomery County,18958.0,,Montgomery County
Salida,1,Allegheny County,15227.0,,Allegheny County
Salina,1,Westmoreland County,15680.0,,Westmoreland County
Salisbury,1,Somerset County,15558.0,,Somerset County
Salisbury Heights,1,Lancaster County,17527.0,,Lancaster County
Salisbury Junction,1,Somerset County,15552.0,,Somerset County
Salisbury Township,1,Lancaster County,,,Lancaster County
Salisbury Township,1,Lehigh County,,,Lehigh County
Salix,1,Cambria County,15952.0,,Cambria County
Salix-Beauty Line Park,1,Cambria County,,,Cambria County
Salladasburg,1,Lycoming County,17740.0,,Lycoming County
Sally Ann,1,Berks County,,,Berks County
Salona,1,Clinton County,17767.0,,Clinton County
Saltillo,1,Huntingdon County,17253.0,,Huntingdon County
Saltlick Township,1,Fayette County,,,Fayette County
Saltsburg,1,Indiana County,15681.0,,Indiana County
Salunga,1,Lancaster County,17538.0,,Lancaster County
Salunga-Landisville,1,Lancaster County,,,Lancaster County
Saluvia,1,Fulton County,17228.0,,Fulton County
Sample,1,Allegheny County,,,Allegheny County
Sample Heights,1,Allegheny County,15209.0,,Allegheny County
Sample Run,1,Indiana County,15728.0,,Indiana County
Sample Spur Junction,1,Lawrence County,,,Lawrence County
Sampson,1,Erie County,,,Erie County
Sampson,1,Washington County,15063.0,,Washington County
Sampson-Grandview-Eldora,1,Washington County,,,Washington County
Sanatoga,1,Montgomery County,19464.0,,Montgomery County
Sanatoga Park,1,Montgomery County,19464.0,,Montgomery County
Sanbourn,1,Clearfield County,16651.0,,Clearfield County
Sand Beach,1,Dauphin County,17033.0,,Dauphin County
Sand Hill,1,Lebanon County,17042.0,,Lebanon County
Sand Hill,1,Westmoreland County,,,Westmoreland County
Sand Patch,1,Somerset County,15552.0,,Somerset County
Sand Spring,1,Luzerne County,18222.0,,Luzerne County
Sandertown,1,Cambria County,,,Cambria County
Sandhill,1,Monroe County,18354.0,,Monroe County
Sandrock,1,Greene County,,,Greene County
Sandts Eddy,1,Northampton County,18042.0,,Northampton County
Sandy,1,Clearfield County,15801.0,,Clearfield County
Sandy Bank,1,Delaware County,19063.0,,Delaware County
Sandy Creek,1,Allegheny County,15147.0,,Allegheny County
Sandy Creek Township,1,Mercer County,,,Mercer County
Sandy Hill,1,Montgomery County,19401.0,,Montgomery County
Sandy Hollow,1,Clarion County,16248.0,,Clarion County
Sandy Hook,1,Franklin County,,,Franklin County
Sandy Lake,1,Mercer County,16145.0,,Mercer County
