,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Athlete,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Coach,Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),Judge (Official),total,percent
Olympics,1920 Summer Olympics,1924 Summer Olympics,1924 Winter Olympics,1928 Summer Olympics,1928 Winter Olympics,1932 Summer Olympics,1932 Winter Olympics,1936 Summer Olympics,1936 Winter Olympics,1948 Summer Olympics,1948 Winter Olympics,1952 Summer Olympics,1952 Winter Olympics,1956 Summer Olympics,1956 Winter Olympics,1960 Summer Olympics,1960 Winter Olympics,1964 Summer Olympics,1964 Winter Olympics,1968 Summer Olympics,1968 Winter Olympics,1972 Summer Olympics,1972 Winter Olympics,1976 Summer Olympics,1976 Winter Olympics,1980 Summer Olympics,1980 Winter Olympics,1984 Summer Olympics,1984 Winter Olympics,1988 Summer Olympics,1988 Winter Olympics,1992 Summer Olympics,1992 Winter Olympics,1994 Winter Olympics,1996 Summer Olympics,1998 Winter Olympics,2000 Summer Olympics,2002 Winter Olympics,2004 Summer Olympics,2006 Winter Olympics,2008 Summer Olympics,2010 Winter Olympics,2012 Summer Olympics,2014 Winter Olympics,1920 Summer Olympics,1924 Summer Olympics,1924 Winter Olympics,1928 Summer Olympics,1928 Winter Olympics,1932 Summer Olympics,1932 Winter Olympics,1936 Summer Olympics,1936 Winter Olympics,1948 Summer Olympics,1948 Winter Olympics,1952 Summer Olympics,1952 Winter Olympics,1956 Summer Olympics,1956 Winter Olympics,1960 Summer Olympics,1960 Winter Olympics,1964 Summer Olympics,1964 Winter Olympics,1968 Summer Olympics,1968 Winter Olympics,1972 Summer Olympics,1972 Winter Olympics,1976 Summer Olympics,1976 Winter Olympics,1980 Summer Olympics,1980 Winter Olympics,1984 Summer Olympics,1984 Winter Olympics,1988 Summer Olympics,1988 Winter Olympics,1992 Summer Olympics,1992 Winter Olympics,1994 Winter Olympics,1996 Summer Olympics,1998 Winter Olympics,2000 Summer Olympics,2002 Winter Olympics,2004 Summer Olympics,2006 Winter Olympics,2008 Summer Olympics,2010 Winter Olympics,2012 Summer Olympics,2014 Winter Olympics,1920 Summer Olympics,1924 Summer Olympics,1924 Winter Olympics,1928 Summer Olympics,1928 Winter Olympics,1932 Summer Olympics,1932 Winter Olympics,1936 Summer Olympics,1936 Winter Olympics,1948 Summer Olympics,1948 Winter Olympics,1952 Summer Olympics,1952 Winter Olympics,1956 Summer Olympics,1956 Winter Olympics,1960 Summer Olympics,1960 Winter Olympics,1964 Summer Olympics,1964 Winter Olympics,1968 Summer Olympics,1968 Winter Olympics,1972 Summer Olympics,1972 Winter Olympics,1976 Summer Olympics,1976 Winter Olympics,1980 Summer Olympics,1980 Winter Olympics,1984 Summer Olympics,1984 Winter Olympics,1988 Summer Olympics,1988 Winter Olympics,1992 Summer Olympics,1992 Winter Olympics,1994 Winter Olympics,1996 Summer Olympics,1998 Winter Olympics,2000 Summer Olympics,2002 Winter Olympics,2004 Summer Olympics,2006 Winter Olympics,2008 Summer Olympics,2010 Winter Olympics,2012 Summer Olympics,2014 Winter Olympics,,
Language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,0.29545454545454547
Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,0.022727272727272728
English,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,1.0,,1.0,1.0,,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,1.0,,1.0,1.0,,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,1.0,,1.0,1.0,,,,,1.0,,27.0,0.20454545454545456
English (Ulvang)/Norwegian (Kåring),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,3.0,0.022727272727272728
English/French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,3.0,0.022727272727272728
English/Swedish,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.022727272727272728
French,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,6.0,0.045454545454545456
French (St.-Jean)/English (Fauget),,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,3.0,0.022727272727272728
