Represent,Candidate,in Russian,Age,Height,Hometown
Khakassian Republic,Anastasija Larekova-Sin,Анастасия Ларекова-Син,23,1.81 m (5 ft 11 1⁄2 in),Abakan
Chukotka Okrug,Mariesea Mnesiču,Мариесеа Мнесичу,19,1.80 m (5 ft 11 in),Anadyr
Astrakhan Oblast,Anastasija Heldriova,Анастасия Хелдриова,18,1.74 m (5 ft 8 1⁄2 in),Astrakhan
Altai Krai,Anastasija Nindova,Анастасия Ниндова,22,1.74 m (5 ft 8 1⁄2 in),Barnaul
Belgorod Oblast,Jahaira Novgorodova,Яхаира Новгородова,25,1.80 m (5 ft 11 in),Belgorod
Jewish Autonomous Oblast,Natalia Melckenberger,Наталиа Мелцкенбергер,20,1.75 m (5 ft 9 in),Birobidzhan
Amur Oblast,Myriam Asfry,Мыриам Асфры,18,1.75 m (5 ft 9 in),Blagoveshchensk
Chuvash Republic,Martha Neosova,Мартха Неосова,19,1.78 m (5 ft 10 in),Cheboksary
Chelyabinsk Oblast,Tatiana Abramenko,Татиана Абраменко,21,1.74 m (5 ft 8 1⁄2 in),Chelyabinsk
Irkutsk Oblast,Yulia Samoylova,Ыулиа Самоылова,21,1.77 m (5 ft 9 1⁄2 in),Irkutsk
Udmurt Republic,Monica Zaharova,Моница Захарова,24,1.81 m (5 ft 11 1⁄2 in),Izhevsk
Kaluga Oblast,Tatiana Semiletova,Татиана Семилетова,20,1.73 m (5 ft 8 in),Kaluga
Karachay-Cherkess Republic,Stephanie Drjagina,Степхание Дрягина,24,1.81 m (5 ft 11 1⁄2 in),Kaluga
Tatarstan Republic,Anastasija Muhammad,Анастасия Мухаммад,19,1.84 m (6 ft 1⁄2 in),Kazan
Khabarovsk Krai,Anastasija Katriova,Анастасия Катриова,18,1.76 m (5 ft 9 1⁄2 in),Khabarovsk
Moscow Oblast,Anastasija Rodriguez,Анастасия Родригуез,20,1.83 m (6 ft 0 in),Khimki
Khanty–Mansi Okrug,Alba Šaršakova,Алба Шаршакова,18,1.76 m (5 ft 9 1⁄2 in),Kogalym
Altai Republic,Kassandra Melova,Кассандра Мелова,18,1.79 m (5 ft 10 1⁄2 in),Kosh-Agach
Kostroma Oblast,Ekaterina Protod’Jakonova,Екатерина Протодьяконова,18,1.84 m (6 ft 1⁄2 in),Kostroma
Krasnodar Krai,Patricia Valiahmetova,Патрициа Валиахметова,20,1.80 m (5 ft 11 in),Krasnodar
Kurgan Oblast,Irina Mondroe,Ирина Мондрое,25,1.79 m (5 ft 10 1⁄2 in),Kurgan
Tuva Republic,Azida Levenok,Азида Левенок,18,1.81 m (5 ft 11 1⁄2 in),Kyzyl
Leningrad Oblast,Mercedes Laplsjfda,Мерцедес Лаплсйфда,18,1.79 m (5 ft 10 1⁄2 in),Leningrad
Magadan Oblast,Ekaterina Filimonova,Екатерина Филимонова,20,1.83 m (6 ft 0 in),Magadan
Mari El Republic,Anna Il’Ina,Анна Ильина,19,1.88 m (6 ft 2 in),Medvedevo
Kemerovo Oblast,Ivette Sarova,Иветте Сарова,20,1.82 m (5 ft 11 1⁄2 in),Mezhdurechensk
Capital City,Natalia Varnakova,Наталиа Варнакова,19,1.80 m (5 ft 11 in),Moscow
Nenets Okrug,Sofia Meldemendev,Софиа Мелдемендев,25,1.85 m (6 ft 1 in),Naryan-Mar
Novgorod Oblast,Ekaterina Žuravleva,Екатерина Журавлева,20,1.81 m (5 ft 11 1⁄2 in),Novgorod
Novosibirsk Oblast,Orianna Kleobova,Орианна Клеобова,19,1.73 m (5 ft 8 in),Novosibirsk
Omsk Oblast,Vera Korobejnikova,Вера Коробейникова,20,1.82 m (5 ft 11 1⁄2 in),Omsk
Oryol Oblast,Natalia Pavšukova,Наталиа Павшукова,19,1.79 m (5 ft 10 1⁄2 in),Oryol
Penza Oblast,Anna Milinzova,Анна Милинзова,20,1.86 m (6 ft 1 in),Penza
Perm Krai,Svetlana Ninkova,Светлана Нинкова,22,1.73 m (5 ft 8 in),Perm
Kamchatka Oblast,Anastasija Jackson,Анастасия Яцксон,23,1.76 m (5 ft 9 1⁄2 in),Petropavlovsk-Kamchatsky
Pskov Oblast,Anastasija Germonova,Анастасия Гермонова,22,1.75 m (5 ft 9 in),Pskov
Rostov Oblast,Tatiana Kotova,Татиана Котова,21,1.81 m (5 ft 11 1⁄2 in),Rostov-On-Don
Ryazan Oblast,Julia Sandrova,Юлиа Сандрова,20,1.74 m (5 ft 8 1⁄2 in),Ryazan
