Pos,Rider,Manufactuer,Time/Retired,Points
1,Doriano Romboni,Honda,33:53.776,25.0
10,Luis d'Antin,Honda,+25.044,6.0
11,Alberto Puig,Honda,+25.136,5.0
12,John Kocinski,Suzuki,+25.463,4.0
13,Jochen Schmid,Yamaha,+47.065,3.0
14,Jean-Michel Bayle,Aprilia,+1:15.546,2.0
15,Juan Borja,Honda,+1:15.769,1.0
16,Frédéric Protat,Aprilia,+1:15.858,
17,Adi Stadler,Honda,+1:16.349,
18,Bernd Kassner,Aprilia,+1:16:464,
19,Paolo Casoli,Gilera,+1:26.061,
2,Loris Capirossi,Honda,+0.090,20.0
20,Gabriele Debbia,Honda,+1:40.049,
21,Adrian Bosshard,Honda,+1:47.492,
22,Massimo Pennacchioli,Honda,+1:59.498,
23,Bernard Haenggeli,Aprilia,+2:41.806,
24,Alessandro Gramigni,Gilera,+1 Lap,
3,Helmut Bradl,Honda,+0.384,16.0
4,Max Biaggi,Honda,+2.346,13.0
5,Loris Reggiani,Aprilia,+2.411,11.0
6,Tetsuya Harada,Yamaha,+2.537,10.0
7,Pierfrancesco Chili,Yamaha,+3.845,9.0
8,Jean-Philippe Ruggia,Aprilia,+3.985,8.0
9,Carlos Cardús,Honda,+4.893,7.0
DNS,Nobuatsu Aoki,Honda,Did not start,
Ret,Jean-Pierre Jeandat,Aprilia,Retirement,
Ret,Andreas Preining,Aprilia,Retirement,
Ret,Volker Bähr,Honda,Retirement,
Ret,Jurgen van den Goorbergh,Aprilia,Retirement,
Ret,Luis Maurel,Aprilia,Retirement,
Ret,Patrick van den Goorbergh,Aprilia,Retirement,
Ret,Eskil Suter,Aprilia,Retirement,
Ret,Wilco Zeelenberg,Aprilia,Retirement,
