Name	Occupation	Year	Category	Winner	Host	Host_Year	Host_Category	Host_Winner	Host_Host	Host_Host_Year	Host_Host_Category	Host_Host_Winner
Nagore Robles	Gran Hermano 11 Housemate	2011	Miss Málaga	False	Miss Málaga	2011	Miss Málaga	False	Miss Málaga	2011	Miss Málaga	False
Raquel Bollo	TV Host & ex-wife of Chiquetete	2011	Miss Málaga	False	Miss Málaga	2011	Miss Málaga	False	Miss Málaga	2011	Miss Málaga	False
Blanca de Borbón	Alfonso XIII's illegitimate granddaughter	2011	Miss Málaga	False	Miss Málaga	2011	Miss Málaga	False	Miss Málaga	2011	Miss Málaga	False
Regina Do Santos	Singer & Dancer	2011	Miss Málaga	False	Miss Málaga	2011	Miss Málaga	False	Miss Málaga	2011	Miss Málaga	False
Liberto López de la Franca	Good manner teacher	2011	Miss Málaga	False	Miss Málaga	2011	Miss Málaga	False	Miss Málaga	2011	Miss Málaga	False
Mª Ángeles Delgado	Mother of Reality-show star Aída Nízar	2011	Miss Málaga	False	Miss Málaga	2011	Miss Málaga	False	Miss Málaga	2011	Miss Málaga	False
Úrsula Aguilar	Miss Málaga 2011	2011	Miss Málaga	False	Miss Málaga	2011	Miss Málaga	False	Miss Málaga	2011	Miss Málaga	False
Álvaro Muñoz-Escassi	Horse rider & ex-boyfriend of Lara Dibildos	2011	Miss Málaga	False	Miss Málaga	2011	Miss Málaga	False	Miss Málaga	2011	Miss Málaga	False
"Pedro Reche, ""Reche"""	Reality show star	2011	Miss Málaga	False	Miss Málaga	2011	Miss Málaga	False	Miss Málaga	2011	Miss Málaga	False
"Dionisio Rodríguez, ""Dioni"""	Ex Security Guard, robbed a security van	2011	Miss Málaga	False	Miss Málaga	2011	Miss Málaga	False	Miss Málaga	2011	Miss Málaga	False
Antonio David Flores	Ex-son-in-law of Rocío Jurado	2011	Miss Málaga	False	Miss Málaga	2011	Miss Málaga	False	Miss Málaga	2011	Miss Málaga	False
Raúl Hidalgo	Reality show star	2011	Miss Málaga	False	Miss Málaga	2011	Miss Málaga	False	Miss Málaga	2011	Miss Málaga	False
Leticia Sabater	TV Host	2011	Miss Málaga	False	Miss Málaga	2011	Miss Málaga	False	Miss Málaga	2011	Miss Málaga	False
Brenda Cerdá	Reality show star	2011	Miss Málaga	False	Miss Málaga	2011	Miss Málaga	False	Miss Málaga	2011	Miss Málaga	False
Sonia Baby	Porn Actress	2011	Miss Málaga	False	Miss Málaga	2011	Miss Málaga	False	Miss Málaga	2011	Miss Málaga	False
Bárbara Rey	Actress, Vedette, TV Host	2011	Miss Málaga	False	Miss Málaga	2011	Miss Málaga	False	Miss Málaga	2011	Miss Málaga	False
